"St. Paul, MN, USA",44.953040,-93.090130,success
"St. Paul, MN, USA",44.953040,-93.090130,success
"Raleigh, NC, USA",35.795543,-78.644390,success
Honduras,14.762778,-86.920196,success
"Denver, CO, USA",39.740959,-104.985798,doubt
"Wellington Region, New Zealand",-41.281385,175.329020,doubt
"Huntsville, AL, USA",34.756007,-86.616034,success
"Sydney, NSW, Australia",-34.035875,151.194191,success
"Burlington, VT, USA",44.481922,-73.227342,success
"England, United Kingdom",52.594310,-1.461208,doubt
"San Diego, CA, USA",32.727930,-117.155290,success
"Verneuil-sur-Avre, France",48.740688,0.925749,success
"Uberlândia, Brasil",failed,failed,failed
Mexico,23.920061,-102.289691,success
"London, England, United Kingdom",51.509648,-0.099076,success
"Portland, OR, USA",45.533467,-122.650095,success
"El Salto, Mexico",20.534333,-103.241203,doubt
"Los Mochis, Mexico",25.790874,-108.995606,success
Netherlands,52.554205,5.501896,success
"Bremen, Germany",53.029599,8.731851,success
"Madison, WI, USA",43.081309,-89.395609,success
Chile,-38.165295,-72.288079,success
"Oregon, USA",43.854178,-120.526709,success
"Buenos Aires, Argentina",-34.607357,-58.454595,success
"Forever Green, USA",30.646337,-84.789611,success
"Detroit, MI, USA",42.398649,-83.164515,success
"London, England, United Kingdom",51.509648,-0.099076,success
"New York, NY, USA",40.682950,-73.970800,success
Czechia,49.882330,15.377705,success
Angoulême,failed,failed,failed
"Global, Rio de Janeiro, Brazil",-22.924571,-43.177179,doubt
"Mar del Plata, Argentina",-38.395722,-60.272854,success
"St. Petersburg, FL, USA",27.759293,-82.622172,success
"Zaragoza, Spain",41.646481,-0.887553,success
"At Home, Suttons Bay, MI, USA",44.978131,-85.650107,doubt
"Community of Madrid, Spain",40.495070,-3.717014,doubt
"Barcelona, Spain",41.400347,2.159592,success
"Global, Rio de Janeiro, Brazil",-22.924571,-43.177179,doubt
France,46.698481,2.549047,doubt
"Mumbai, India",19.101090,72.875449,success
United Kingdom,52.418788,-1.247349,success
"Atelier, Germany",49.268514,8.470840,doubt
"Sheffield, England, United Kingdom",53.390826,-1.468485,success
"Jalisco, Mexico",20.448830,-103.644011,success
"Central, Lynn, MA, USA",42.463848,-70.956770,doubt
"Toscany, Italy",43.450842,11.126243,doubt
Greece,39.783310,21.708535,success
"Maceió, Brasil",failed,failed,failed
"Vancouver, BC, Canada",49.281900,-123.118740,success
"5750 San José, Santiago, Chile",-33.507728,-70.651309,doubt
"Toulouse, France",43.603902,1.440694,success
"Santiago, Spain",42.883508,-8.540282,doubt
"Seattle, WA, USA",47.673455,-122.331537,success
"Brussels, Belgium",50.733183,4.436117,success
"San Salvador, El Salvador",13.689350,-89.187180,success
"Barcelona, Spain",41.400347,2.159592,success
"Paris, France",48.859116,2.331839,success
France,46.698481,2.549047,doubt
"Corrientes, Argentina",-28.684571,-57.799607,doubt
"Tabasco, Mexico",18.043119,-92.617504,success
"Haugesund, Norway",59.412257,5.287575,success
"County Durham, England, United Kingdom",54.654624,-1.961689,doubt
"Izhevsk, Russia",56.851920,53.232970,success
"Bodenseegymnasium, Lindau, Germany",47.559127,9.695383,doubt
"San Francisco, CA, USA",37.778008,-122.431272,success
"Chicago, IL, USA",41.878970,-87.660630,success
"Amsterdam, Netherlands",52.372430,4.899730,success
"Wellington Region, New Zealand",-41.281385,175.329020,doubt
"Munich, Germany",48.152126,11.544467,success
"Ile-of-France, France",48.709279,2.503397,doubt
"Helsinki, Finland",60.207870,24.999350,success
"Dar es Salaam, Tanzania",-6.812580,39.274749,success
"Paris, France",48.859116,2.331839,success
"Kampala, Uganda",0.316280,32.582190,success
"Toulouse, France",43.603902,1.440694,success
Indonesia,-1.003189,101.972332,success
"Euskal Herria, Algorta, Spain",43.348812,-3.009471,success
"Zion, Israel",31.769040,35.216330,success
"Atlanta, GA, USA",33.769805,-84.414581,success
"Somewhere Over There, BC, Canada",49.727670,-123.084023,success
"Wikwemikong Unceded Indian Reserve No. 26, ON, Canada",45.727305,-81.715131,success
"Galaxia Del Carmen I, Playa del Carmen, Mexico",20.653102,-87.078858,doubt
Ukraine,49.219469,33.023452,success
"El Kala, Algeria",36.895560,8.443330,success
"Westminster, CO, USA",39.887119,-105.049309,success
"Culiacán, Sinaloa",failed,failed,failed
"Los Angeles, CA, USA",34.055130,-118.257030,success
Brazil,-11.928923,-49.542449,success
"Ciudad Deportiva, Cartagena, Spain",37.620829,-0.950610,doubt
"1520 Avenida México, Puente Alto, Chile",-33.594949,-70.559009,doubt
"New York, NY, USA",40.682950,-73.970800,success
"San Francisco, CA, USA",37.778008,-122.431272,success
"Madison, WI, USA",43.081309,-89.395609,success
"District of Columbia, USA",38.912097,-77.014683,doubt
"Austin, TX, USA",30.222346,-97.836521,success
"Los Angeles, CA, USA",34.055130,-118.257030,success
"Culiacán, Sinaloa",failed,failed,failed
"Mentone, AL, USA",34.566854,-85.582247,success
"District of Columbia, USA",38.912097,-77.014683,doubt
"Toronto, ON, Canada",43.648770,-79.381710,success
"Santa Cruz de la Sierra, Bolivia",-17.788573,-63.186492,doubt
"Rhein-Neckar-Kreis , Germany",49.299319,8.814371,success
Nicaragua,12.793313,-85.039545,success
"Les varies, Trebedan, France",48.406752,-2.170572,success
"San Francisco, CA, USA",37.778008,-122.431272,success
"Redlands, CA, USA",34.046796,-117.174269,success
"Tucson, AZ, USA",32.197090,-110.828987,success
"New York, NY, USA",40.682950,-73.970800,success
"Tartumaa, Estonia",58.372941,26.738843,doubt
"Planet Earth, India",12.883106,77.750168,success
"Flemington, NJ, USA",40.508425,-74.860293,success
"Schleswig-Holstein, Germany",54.064546,9.713017,doubt
United States,39.715956,-96.999668,doubt
"Chihuahua, Mexico",28.906268,-106.469586,success
"Amherst, MA, USA",42.364243,-72.506064,success
"Leisure World, MD, USA",39.102668,-77.069189,doubt
"Chandler, AZ, USA",33.310045,-111.861363,success
"Yakima, WA, USA",46.593247,-120.547823,success
"Cambridge, MA, USA",42.380360,-71.115987,success
"London, England, United Kingdom",51.509648,-0.099076,success
"Bloomington, IN, USA",39.207854,-86.520118,success
"Sunset Park, Paris, IL, USA",39.613924,-87.708082,doubt
"Accra, Ghana",5.556020,-0.196900,success
"Stavanger, Norway",58.943598,5.714572,success
"Macomb, IL, USA",40.463419,-90.670896,success
"Tartumaa, Estonia",58.372941,26.738843,doubt
"London, England, United Kingdom",51.509648,-0.099076,success
"Anywhere cafe & travel, Taipei, Taiwan",25.059262,121.534174,doubt
"Stanford, CA, USA",37.425888,-122.165288,success
"Anarchy, Doncaster, England, United Kingdom",53.522238,-1.134641,doubt
"Shillong, India",25.575272,91.888212,success
"Amsterdam, Netherlands",52.372430,4.899730,success
"New York, NY, USA",40.682950,-73.970800,doubt
"Mumbai, India",19.101090,72.875449,success
"Jammu and Kashmir, Pakistan",34.694564,75.735774,success
Singapore,1.357685,103.809380,success
"Portland, OR, USA",45.533467,-122.650095,success
"Galway, Ireland",53.621108,-10.207228,doubt
"Bellingham, WA, USA",48.764218,-122.468178,success
Finland,63.252357,27.276469,success
"Boulder, CO, USA",40.016412,-105.259703,doubt
"UAE, Oman",23.605743,58.430889,success
"ABQ Luggage and Zipper Repair, Albuquerque, NM, USA",35.077665,-106.594989,doubt
"East Lothian, Scotland, United Kingdom",55.948584,-2.726664,doubt
"Madrid, Spain",40.429913,-3.669245,success
"Michigan, USA",43.924812,-84.633107,doubt
"Leipzig, Germany",51.341053,12.404024,success
"England, United Kingdom",52.594310,-1.461208,doubt
"Varkaus, Finland",62.313188,27.859919,success
"Wisconsin, USA",44.356004,-89.466198,success
"Bournemouth, England, United Kingdom",50.740189,-1.864966,doubt
"London, England, United Kingdom",51.509648,-0.099076,success
Switzerland,46.730219,7.509687,success
"France, ID, USA",43.972410,-111.275230,doubt
"Buenos Aires, Argentina",-34.607357,-58.454595,success
"Connecticut, USA",41.580163,-72.756629,success
"Distrito Federal, Brazil",-15.775260,-47.797292,success
"Pocumtuck, Deerfield, MA, USA",42.544802,-72.603947,success
"Philadelphia, PA, USA",39.990821,-75.168428,success
"Helsinki, Finland",60.207870,24.999350,success
"Barcelona, Spain",41.400347,2.159592,doubt
"Amsterdam, Netherlands",52.372430,4.899730,success
Czechia,49.882330,15.377705,success
"Nairobi, Kenya",-1.283330,36.816670,success
"Copenhagen, Denmark",55.704438,12.502119,success
"She her style, Ludwigshafen am Rhein, Germany",49.482496,8.446392,success
"Lisbon, Portugal",38.748243,-9.140093,success
"37, 174, Cuba",23.100808,-82.375873,doubt
"Frankfurt, Germany",50.041821,8.584764,success
"Enschede, Netherlands",52.212261,6.881208,success
Tanzania,-5.869032,34.800732,success
"Marana, AZ, USA",32.447371,-111.200479,success
"Tucherhof, Nuremberg, Germany",49.484625,11.090691,doubt
"Austin, TX, USA",30.222346,-97.836521,success
"Mexicali, Mexico",32.631342,-115.437638,success
"1520 Avenida México, Puente Alto, Chile",-33.594949,-70.559009,doubt
"New York, USA",43.408777,-74.871618,success
Chile,-38.165295,-72.288079,success
Canada,58.337470,-112.384858,doubt
"Denver, CO, USA",39.740959,-104.985798,doubt
"Cleveland, OH, USA",41.496551,-81.651330,success
"San Francisco, CA, USA",37.778008,-122.431272,success
Switzerland,46.730219,7.509687,doubt
"Florida, USA",27.977620,-81.769611,success
"London, England, United Kingdom",51.509648,-0.099076,success
Nepal,28.323184,83.603740,success
"Sheffield, England, United Kingdom",53.390826,-1.468485,success
Córdoba,failed,failed,failed
"Derbyshire, England, United Kingdom",53.119911,-1.604812,doubt
Pakistan,29.328493,68.546268,success
"Oakland, CA, USA",37.785199,-122.197811,success
"California, USA",36.531544,-119.586168,success
"City of Nottingham, England, United Kingdom",52.962779,-1.177659,doubt
"Poblenou, Barcelona, Spain",41.403393,2.202867,success
"Lancashire, England, United Kingdom",53.888754,-2.672673,doubt
Israel,30.902941,34.860794,success
Saudi Arabia,23.806678,44.700847,doubt
"Yorkshire, VA, USA",38.787236,-77.448996,success
"Trier, Thyrsusstra�e, Trier, Germany",49.767324,6.663908,doubt
"Redlands, CA, USA",34.046796,-117.174269,success
"Redlands, CA, USA",34.046796,-117.174269,success
"Saint Petersburg, Russia",59.911039,30.340232,success
"March, Switzerland",47.150315,8.904278,doubt
"Atlanta, GA, USA",33.769805,-84.414581,success
"Trier, Germany",49.750116,6.645776,success
"Manchester, England, United Kingdom",53.462761,-2.216665,doubt
"Lyon, France",45.752181,4.840823,success
"bbox:[-117.3,32.6,-116.5,33.1]",failed,failed,failed
"Tongeren, Belgium",50.783247,5.470595,success
"Alacant, Confrides, Spain",38.683725,-0.270930,doubt
Germany,51.196755,9.627430,success
"Bamako, Mali",12.650000,-8.000000,success
"Rochefort, France",45.944305,-0.968144,success
"CSS Kunststofftechnik, Germany",53.327795,9.824974,doubt
"Calabarzon, Philippines",13.935319,121.567271,doubt
"Leeds, England, United Kingdom",53.789944,-1.560632,success
"Burlington, VT, USA",44.481922,-73.227342,success
"Cambridge, MA, USA",42.380360,-71.115987,success
"Walldorf, Germany",49.307822,8.641450,success
"Grenoble, France",45.177879,5.718545,success
un-known,failed,failed,failed
"Cardiff, Wales, United Kingdom",51.503305,-3.169855,doubt
Ireland,53.078731,-7.798618,success
"London, England, United Kingdom",51.509648,-0.099076,success
"Pas-de-Calais, France",50.657650,1.937303,success
"End of the Rainbow Road, Breckinridge County, KY, USA",37.611288,-86.458921,success
"Granadilla, Spain",28.121240,-16.576149,success
"Distrito Federal, Brazil",-15.775260,-47.797292,success
"Kapiti Coast District, New Zealand",-40.864613,175.194020,success
"Baltimore, MD, USA",39.319732,-76.649533,success
"The Bluegrass, Racine, WI, USA",42.718520,-87.818899,success
"Ciudad Deportiva, Cartagena, Spain",37.620829,-0.950610,doubt
"St.Thomas, Germany",50.539794,6.904263,success
"San Francisco, CA, USA",37.778008,-122.431272,success
"England, United Kingdom",52.594310,-1.461208,doubt
"Canton of Geneva, Switzerland",46.195930,6.128052,doubt
"Scotland, United Kingdom",56.833010,-4.180209,doubt
"1520 Avenida México, Puente Alto, Chile",-33.594949,-70.559009,doubt
"Camden Town, London, England, United Kingdom",51.539864,-0.143123,success
"Nairobi, Kenya",-1.283330,36.816670,success
"Fortaleza, Brazil",-29.729642,-51.568974,success
"Colorado, USA",38.996664,-105.547822,success
Colombia,3.420497,-73.166783,success
"Auckland, New Zealand",-36.905451,174.672404,success
"Colorado, USA",38.996664,-105.547822,success
"Berkeley, CA, USA",37.865832,-122.297864,success
"Scotland, United Kingdom",56.833010,-4.180209,doubt
"Newcastle upon Tyne, England, United Kingdom",55.009551,-1.668049,doubt
"Earth, TX, USA",34.233025,-102.409180,success
"London, England, United Kingdom",51.509648,-0.099076,success
