tweet_id,text,author_id,created_at,lang,retweet_count,reply_count,like_count,quote_count,source,media_key,media_url,media_type,media_view,user_name,user_username,user_verified,user_followers_count,user_following_count
1460147807675944960,"#30DayMapChallenge - Map made without using a computer

c'est un semi-fail à base de maïzena et de terreau, mais j'ai trouvé ça rigolo - île de Jan Mayen, entre le Groenland et l'Islande https://t.co/sIocISh8NQ",2367649759,2021-11-15 07:29:00+00:00,fr,19,10,127,0,TweetDeck,3_1458803410115907590,https://pbs.twimg.com/media/FD61-PEWUAYrQAa.jpg,photo, ,Gaëlle Sutton,Gaelle_Sutton,False,2772,1713
1460147555782860803,"#30DayMapChallenge Day 15 - Not with a computer.
Boy, do I suck at ""crafts""...
Hopefully I can get some points for the effort? https://t.co/LDdleVFXfO",56323078,2021-11-15 07:28:00+00:00,en,6,2,59,0,Twitter Web App,3_1459830683480825868,https://pbs.twimg.com/media/FEJcRakXIAw8-em.jpg,photo, ,Klas Karlsson,klaskarlsson,False,5289,82
1460146886116089859,#30daymapchallenge #notinkscape https://t.co/gKlBg4T2xw,233135248,2021-11-15 07:25:20+00:00,und,1,0,1,0,Twitter Web App,3_1460146645484593154,https://pbs.twimg.com/media/FEN7o0wWYAIYOku.jpg,photo, ,Jrombf,jrombf,False,95,458
1460146399694180357,"""Chart exhibiting the light houses and light vessels on the coasts of Great Britain and Ireland; and also those on the N.W. coasts of Europe between Ushant and Bergen"".

Alexander George Findlay, London, 1863.  

#30DayMapChallenge #MapWithoutAComputer https://t.co/iD9zvdvWLx",1382368520516816900,2021-11-15 07:23:24+00:00,en,5,1,24,0,Twitter Web App,3_1460146381650378758,https://pbs.twimg.com/media/FEN7Zd5XwAYElFi.jpg,photo, ,Gardien de Phare 🌊 ⚓️,Gardien2Phare,False,916,902
1460144227107627011,"It's day 15 of the #30DayMapChallenge, which means it's pen and paper for today's map without a computer theme! 

This is #Howth Co. Dublin poorly hand-drawn https://t.co/LJat0nWmmh",437801734,2021-11-15 07:14:46+00:00,en,2,1,17,0,Twitter for Android,3_1460144224071041025,https://pbs.twimg.com/media/FEN5b4SXwAE36GW.jpg,photo, ,Antonia Blankenberg,MapsByAntonia,False,473,520
1460141389463883781,"Day 15 of #30DayMapChallenge Theme: Map made without a computer. My team @ibrahim_raufu @AYOOLAND_HOMES @Koladearest decided to carve out of hard paper, a map of seaports in Nigeria and their routes. @GemMsc @unitartu #QGIS https://t.co/2qrWonj5Op",860502917253656576,2021-11-15 07:03:30+00:00,en,13,0,43,0,Twitter for Android,3_1460141386905403398,https://pbs.twimg.com/media/FEN22vBXwAYFmCh.jpg,photo, ,Lilian Akudo Akanazu,akanazu_lilian,False,2208,257
1460140838386814978,"#30DayMapChallenge
Day 15: Map without computer. https://t.co/DbK7EoGiVo",3310104332,2021-11-15 07:01:18+00:00,en,0,0,1,0,Twitter for Android,3_1460140830908428291,https://pbs.twimg.com/media/FEN2WXxXMAM7ZlR.jpg,photo, ,Mohammad Kourani,MKourani2017,False,8,47
1460140681142456321,The worldwide #30DayMapChallenge has reached Estonian Land Board. For every day in November one new map will appear. 15th day category: map made without using a computer. You can see the whole gallery https://t.co/it1YIPjMyU https://t.co/86RNfA56HP,193592650,2021-11-15 07:00:41+00:00,en,1,1,5,0,Twitter Web App,3_1460140655792078848,https://pbs.twimg.com/media/FEN2MLaXwAAX03X.jpg,photo, ,Maa-amet,maaamet,False,174,89
1460140017335078913,"#30DayMapChallenge
Day 15 : Map without computer.
I borrow this table cover not to break this challenge 🤩. https://t.co/ufCT3dbbWh",860412366323933185,2021-11-15 06:58:02+00:00,en,0,0,10,0,Twitter for Android,3_1460140012809375749,https://pbs.twimg.com/media/FEN1mwHWUAU_X9d.jpg,photo, ,BAOVOLA Marie Anna,BaovolaMada,False,512,1604
1460139858551263234,"Day 15: a map without a computer. Our artistic residence last year used bamboo, wangerflange, plywood &amp;c to create a tent in which people came to fold paper planets. 
https://t.co/Eb3yU8vtQN
#30DayMapChallenge https://t.co/qMn6gvyN4h",201856958,2021-11-15 06:57:25+00:00,en,3,2,20,1,TweetDeck,3_1460139167137083392,https://pbs.twimg.com/media/FEN01hvXMAANhdh.jpg,photo, ,Fil,recifs,False,2672,2495
1460139842243682307,#30DayMapChallenge day 15: Without a computer. The river Schelde and the docks in the Antwerp region. https://t.co/caoCVUl8m2,269294137,2021-11-15 06:57:21+00:00,en,2,0,12,0,Twitter for Android,3_1460139838645145603,https://pbs.twimg.com/media/FEN1cnTXEAMq-7z.jpg,photo, ,michelstuyts,michelstuyts,False,493,1482
1460139800669921282,Day 15: Map made without using a computer. Today's map dives into the fictional world. @Zelbe04 drew a map of what she would imagine the Lion King World looks like 🦁. #30DayMapChallenge https://t.co/zuVjywJ5We,1109007483199213568,2021-11-15 06:57:11+00:00,en,3,0,10,0,Twitter for Android,3_1460139776749838336,https://pbs.twimg.com/media/FEN1ZAuXoAARJLQ.jpg,photo, ,UP Mappers,UPmappers,False,86,66
1460138015792193544,"DumFries and Galloway
#30DayMapChallenge | Day 15 | Map made without using a computer https://t.co/9fS0WPRw8v",1081900377853829120,2021-11-15 06:50:05+00:00,en,19,7,147,4,Twitter for Android,3_1460138013137195008,https://pbs.twimg.com/media/FENzyWwWUAAuUpe.jpg,photo, ,D&G Place-Names,dgplacenames,False,1132,393
1460136734646325250,"For #30DayMapChallenge day 15, map without using a computer, I'll share something I got for Father's Day yesterday from my son, 2. He says it's called Joki (felt, 2021) or The River in English . And it is of course better than anything I could have come up with myself. #isänpäivä https://t.co/uZKR1Bn2Z3",490477903,2021-11-15 06:45:00+00:00,en,2,0,11,0,Twitter Web App,3_1460136599920984067,https://pbs.twimg.com/media/FENygGHWQAMEdGI.jpg,photo, ,Tuomas Lehto,LehtoTuomas,False,267,277
